,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
koi_duration_err1,0.33755785394522114,-0.18171609442228892,-0.004961392058376038,0.025358620766817025,0.3736698204432109,0.5298206325057929,-0.5298206325057929,0.22848522172915217,0.5191433984311145,-0.5191433984311145,0.021648565263121283,0.00039250944897062455,-0.04586439689755424,0.3591064948869898,1.0,-1.0,-0.12366605170395772,0.022781949080733797,-0.022781949080733797,0.02345442746030371,0.017951738820843034,-0.023391963394867207,-0.12245866546448805,-0.007108108496785118,-0.0058537385087247895,0.004750485036540815,-0.14603240395311293,0.040579245152982175,0.05576530003142203,0.07658009441637878,-0.07520001569081201,-0.05393824065136208,0.026540640627238314,-0.12541155816391508,0.03527287430621992,0.07058975915714796,-0.041538677339004834,0.0172455778659884,-0.02483540541982237,-0.05738186884929364
koi_duration_err2,-0.33755785394522114,0.18171609442228892,0.004961392058376038,-0.025358620766817025,-0.3736698204432109,-0.5298206325057929,0.5298206325057929,-0.22848522172915217,-0.5191433984311145,0.5191433984311145,-0.021648565263121283,-0.00039250944897062455,0.04586439689755424,-0.3591064948869898,-1.0,1.0,0.12366605170395772,-0.022781949080733797,0.022781949080733797,-0.02345442746030371,-0.017951738820843034,0.023391963394867207,0.12245866546448805,0.007108108496785118,0.0058537385087247895,-0.004750485036540815,0.14603240395311293,-0.040579245152982175,-0.05576530003142203,-0.07658009441637878,0.07520001569081201,0.05393824065136208,-0.026540640627238314,0.12541155816391508,-0.03527287430621992,-0.07058975915714796,0.041538677339004834,-0.0172455778659884,0.02483540541982237,0.05738186884929364
koi_depth,-0.0439418453061879,0.42388317533955827,-0.1329393404697949,-0.08800061662223026,-0.06427184274000546,-0.06913817227706595,0.06913817227706595,-0.03719457639703465,-0.11043057297540601,0.11043057297540601,0.0010880923520087734,-0.04271022313355163,0.05527812840559769,0.07285994028812003,-0.12366605170395772,0.12366605170395772,1.0,0.2508474255407558,-0.2508474255407558,0.0007399196135624857,0.009468534042731687,0.00015665212538179714,0.07619747499289757,-0.00602895204912938,-0.004882800291392041,0.003722797983147978,0.5889875851968875,-0.09430125285613183,0.124717049121226,0.16072690351993393,-0.14509482527352122,-0.010089392245838583,0.10763013769750784,-0.02688377561838842,-0.017221452825669368,-0.0033658402412311684,0.0017521979395209975,0.019420319339614748,-0.016085438077046318,0.0023571104721595766
koi_depth_err1,0.03192161906610584,0.003900257559194339,-0.011108442513192696,-0.0030618977493381944,0.038613576505801946,0.009823214357525816,-0.009823214357525816,0.05559664339576123,0.01509367916612232,-0.01509367916612232,0.0029659732052365584,0.002403285672794973,-0.0053864871282278595,0.0028117213726340903,0.022781949080733797,-0.022781949080733797,0.2508474255407558,1.0,-1.0,0.00132094573802343,0.0045070168580007685,-0.0005714880127875571,-0.014237126852384985,-0.0009312630944805263,-0.0011450131058258885,0.0007848527835685651,-0.0017642904314382067,-0.006862102869879328,0.005334426257490683,0.018603103889895636,-0.009112180353949086,0.008869297153885406,-0.008145836693583586,0.017467315973293773,-0.0024096577889288753,0.00047102319869505926,0.002032906718039761,0.012243664882175589,-0.017673238372167752,0.01412207764640977
koi_depth_err2,-0.03192161906610584,-0.003900257559194339,0.011108442513192696,0.0030618977493381944,-0.038613576505801946,-0.009823214357525816,0.009823214357525816,-0.05559664339576123,-0.01509367916612232,0.01509367916612232,-0.0029659732052365584,-0.002403285672794973,0.0053864871282278595,-0.0028117213726340903,-0.022781949080733797,0.022781949080733797,-0.2508474255407558,-1.0,1.0,-0.00132094573802343,-0.0045070168580007685,0.0005714880127875571,0.014237126852384985,0.0009312630944805263,0.0011450131058258885,-0.0007848527835685651,0.0017642904314382067,0.006862102869879328,-0.005334426257490683,-0.018603103889895636,0.009112180353949086,-0.008869297153885406,0.008145836693583586,-0.017467315973293773,0.0024096577889288753,-0.00047102319869505926,-0.002032906718039761,-0.012243664882175589,0.017673238372167752,-0.01412207764640977
koi_prad,0.054409527690928605,-0.0007518123053410149,-0.013284454050606914,-0.011077938915488713,0.07278967669376825,0.030522398692204553,-0.030522398692204553,0.03981416281368951,0.014574799636875248,-0.014574799636875248,0.738675972058415,0.026624928164283603,-0.593278621475363,0.04148447022237485,0.02345442746030371,-0.02345442746030371,0.0007399196135624857,0.00132094573802343,-0.00132094573802343,1.0,0.727369347673375,-0.988196797270432,-0.0037425992028890663,0.0024386980793139074,0.0024503811244641037,-0.0016175271148609481,-0.0035680835379959075,-0.0051953400797953905,-0.014998319560509092,-0.02317393296648026,-0.023670928197979786,-0.10558076478070683,-0.0056849201211464934,0.022171221701719132,0.06142602135041631,0.03502792075466044,-0.07266479541676972,0.007929601255251394,0.0034779957815358484,-0.02332552003104332
koi_prad_err1,0.06166240965413345,0.0042411144249579836,-0.015563127982945388,-0.013317905190946598,0.052352742217006885,0.02172642912361141,-0.02172642912361141,0.04149637834523629,0.03108615395681606,-0.03108615395681606,0.793394681865823,0.043433475049081544,-0.6200403113734017,0.021717469026683665,0.017951738820843034,-0.017951738820843034,0.009468534042731687,0.0045070168580007685,-0.0045070168580007685,0.727369347673375,1.0,-0.6668118227157048,0.0017615262804328545,0.001293269737003235,0.0041840179070144565,-0.0014356643470164437,-5.740342567146555e-05,-0.007173750434330845,-0.008643311133284504,-0.011922164805910877,-0.02038844399122921,-0.10054352528597209,0.017243632271803488,-0.011893791199647234,0.0435442752211444,0.05747730358525724,-0.052133807205993615,0.009676540239834714,0.004541715678690897,-0.008055753825499954
koi_prad_err2,-0.05127324660849288,0.0033933784701890954,0.012901385145769962,0.00991313564460845,-0.07073570783730691,-0.030553575763730276,0.030553575763730276,-0.03797728935717703,-0.013118974003393092,0.013118974003393092,-0.6740174656107661,-0.019822641721259904,0.5401829129044777,-0.04012798523308511,-0.023391963394867207,0.023391963394867207,0.00015665212538179714,-0.0005714880127875571,0.0005714880127875571,-0.988196797270432,-0.6668118227157048,1.0,0.00263054293263742,-0.001004210227150273,-0.0016901519839102534,0.0010792193164682795,0.004111702641665614,0.005692375085499457,0.016750289332448202,0.023594967063679827,0.023403012946173914,0.10188864102195136,0.002496453743042424,-0.021114864067310002,-0.057594125495728565,-0.03206651819129828,0.07362353547494074,-0.009092897697707145,-0.0034144358678197236,0.023829686573862724
koi_teq,-0.003013380213199688,0.19184215799123064,0.25904520042692986,0.2186235530939044,-0.39000623029470743,-0.22943801127266636,0.22943801127266636,-0.3155099459468161,-0.10667138340115366,0.10667138340115366,-0.012648097331847186,-0.0682948081564021,0.047298848147400735,-0.1826776058599446,-0.12245866546448805,0.12245866546448805,0.07619747499289757,-0.014237126852384985,0.014237126852384985,-0.0037425992028890663,0.0017615262804328545,0.00263054293263742,1.0,0.4303836374569257,0.4590970354597771,-0.405502029194694,0.052079482618027854,-0.08224492255913221,0.2385928404731637,0.12469231242387029,-0.19774650652131345,-0.5251079176262186,0.26016926787949546,-0.016159288097423525,0.4504885144387912,0.407894616589554,-0.4195076495048,0.11273363548270583,-0.06165306270914404,-0.2667136124052258
koi_insol,-0.0005662486736301729,0.03131547477872808,0.01808563243697162,0.03487379017967843,-0.02174267549656503,-0.0117722803739969,0.0117722803739969,-0.021306842906464157,-0.003326757455910799,0.003326757455910799,-0.003793489085363167,-0.007583472480346702,0.0042650883395294005,-0.01736736331758766,-0.007108108496785118,0.007108108496785118,-0.00602895204912938,-0.0009312630944805263,0.0009312630944805263,0.0024386980793139074,0.001293269737003235,-0.001004210227150273,0.4303836374569257,1.0,0.9259594172043585,-0.9660041421344667,-0.008181438617224677,-0.008427791006723521,-0.05794802014245674,-0.0338750787767062,0.017171186401943504,-0.2800292231217141,0.02274049641052154,0.026483733044164473,0.5652235182292585,0.3383144048694075,-0.5286719827580231,0.0239567009214931,-0.016428223471042287,-0.06936875448581696
